Don't change any of these headers!,Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
,Deploy a flask application in a single step,09-18-2015,15:00,15:30,LaterPay Room (CC2.1),,"Colin Moore-Hill

It is intended that the viewer will understand basics of cdeating a dev env and show it going live.
To go from nothing to a deployed flask application with neo4j database in one step using docker-create to heroku.

Might also include docker machine and swarm."
,Understanding PyPy,09-18-2015,15:30,16:00,PythonAnywhere Room (CC1.3),,"Francisco Fernández Castaño

PyPy is an alternative implementation of CPython implemented in Python, to newcomers understanding concepts like RPython, JIT, PyPy garbage collection and other core concepts could be difficult so this talk is aimed to introduce all of these concepts and understand better how PyPy works."
,Leadership of Technical Teams,09-18-2015,15:30,16:00,Osper Room (CC1.4),,"Owen Campbell

Over the years, I've led, and been a member of, numerous technical teams on a wide variety of projects. Based on that experience, this talk will describe my observations on the role of the leader in that sort of team.

The talk will be in 5 sections:

* Introduction - A bit about my background so you can judge whether to bother staying for the rest.
* Authority - Where it comes from and the challenges you might face depending on the answer.
* Priorities - What should you be focussing upon?
* Style - There are many leadership styles, but what's yours and what's appropriate for technical teams?
* Process - What's your role in defining and managing process?

The slides for this talk are available from my website: http://www.owencampbell.me.uk/docs/pyconuk2015.pdf

They were prepared using LaTeX and the code is available at Github: https://github.com/meatballs/pyconuk2015"
,Gabbi - Declarative HTTP Testing,09-18-2015,15:30,16:00,LaterPay Room (CC2.1),,"[Chris](https://tank.peermore.com/tanks/cdent) [Dent](https://twitter.com/anticdent)

[Gabbi](http://cdent.github.io/gabbi/) is a Python-based tool for
testing web APIs using an easy to write and read YAML format that allows
tests to focus on HTTP requests and responses, not Python. It was
developed to make it easier to learn and contribute to OpenStack APIs
but can be used in any environment, even for testing services that don't
use Python (if that's your thing).

The presentation will give an overview of why Gabbi exists and a live
demonstration of its features. Listeners will hopefully go home with a
new and useful tool and an expanded perspective on ways to make tests
for web APIs.

For a taste of what the presentation will provide see
[these slides](http://redhat.slides.com/chdent/gabbi?token=EE3TApJU)
which were used to give a similar talk at the OpenStack Liberty Summit.
This talk will be an updated version including new features and learnings
from use in the field."
,PyPy for mediocre programmers,09-18-2015,16:00,16:30,PythonAnywhere Room (CC1.3),,"Ronan Lamy

This is a talk for mediocre Python programmers by a mediocre programmer. PyPy is an alternative implementation of Python. It is notorious for being fast, but also for using clever algorithms pertaining to advanced concepts such as type inference, garbage collection, just-in-time compilation, etc. So, can we, mediocre programmers, realistically use PyPy?

Yes, absolutely. In fact, PyPy developers did all that hard work so that we wouldn't have to. As we'll see, it runs most Python code exactly like CPython does, save that it magically makes it faster.

Porting existing applications is always more involved than running a simple script, so we'll also examine likely difficulties such as code relying on CPython implementation details, and dependencies on C extensions, and explore simple principles to let PyPy run your code even faster.

Finally, we'll have a glimpse of the future by looking at what's brewing in the PyPy lair, such as software transactional memory, new speed optimisations, better support for Python 3 and NumPy, ..."
,Elephant taming for snake lovers,09-18-2015,16:00,16:30,Osper Room (CC1.4),,"[Wes Mason](https://twitter.com/1stvamp)

PHP is one of the most popular web development platforms in the world.
Like it or not you can't argue with the widespread usage and popularity of PHP, from CMSs, to forums, eCommerce sites and more, there's a lot of actively developed/used code out there. 

Follow along with me as I attempt to explain the most appealing features, similarities, galloping differences between PHP and Python, and why you should care:

* Similarities (generators, traits, functional, modules).
* Managing dependencies and distributing packages with Composer.
* Debugging locally and remotely with XDebug.
* Pick a framework, really, any framework.
* Deploying apps with mod_php and php-fpm (We don't need no WSGI here).
* Documentation, sometimes *global everything* has good consequences.
* Migrating between versions, alternative implementations (from HHVM to HippyVM) and the future(s) of PHP, 7 and Hack."
,Making code py2/3 compatible using python-future,09-18-2015,16:00,16:30,LaterPay Room (CC2.1),,"Jørn Lomax

The talk will demonstrate how to port a Python2 project to python3. We will look at both making the code python3 exclusive, and making it cross compatible. This will be demonstrated using the python-future package, which is a camptibility library to aid with code porting. After this talk, you should be able to handle porting any python existing Py2 code to work with Py3.

This talk is based on work done during summer where the buildbot project was ported from Py2, to be cross compatible with Py3. It will demonstrate some of the challenges encountered and and some of the lessones learned during the process of porting both a small project (buildslave) and a large project (buildbot)"
,TeachMeet,09-18-2015,16:00,18:00,Bank of America Education Track (Simulation Centre),,
,Making Python Computations Fast,09-18-2015,16:30,17:00,PythonAnywhere Room (CC1.3),,"Russel Winder

Python is slow at computing things. Some people try to use Cython, Numba or even NumPy to get round this. However the best way forward is to use a specialist native code language. No not C. Some people will use C++, but the real cogniscenti will use D or Chapel. This session will show how to do this using a small example."
,"Templating - Past, Present and Future",09-18-2015,16:30,17:00,Osper Room (CC1.4),,"Ed Singleton

A summary of templating, with a look at older templating systems that have fallen by the wayside, the current choices for templating, and what the future of templating might be like, including what other languages are doing and whether we can learn anything from them.

There will naturally be bit of a focus on web programming, though we will definitely be looking at other uses of templating.

There will be some analysis of different styles of templating, looking at brevity, readability and power.

If anyone wants a templating system to be discussed, do feel free to let me know ahead of time."
,Instrument Your Python App with Metric Collection,09-18-2015,16:30,17:00,LaterPay Room (CC2.1),,"Marek Mroz

Brief Description
-----
Metrics gathering and visualization is a standard practice for systems and operations engineers. While not as commonly used in the data science world, metric collection tools and techniques can be useful for scientific computing projects. In this talk I will show how to instrument an application to collect metrics, and create a dashboard view to monitor and explore the collected data.


Detailed description
-----
InfluxDB is an open-source distributed time series database that is easy to set up and to get started with. Grafana is a dashboarding tool that works with InfluxDB and other time series back-ends. In this talk I will use a practical example to present how to integrate a Python application with InfluxDB, explore the visualization capabilities that Grafana brings to the table, and show practical examples of insights that can be gained from instrumenting Python applications with metric collection.

""Log everything"" is a great piece of advice for any project, whether doing exploratory research or deploying a system to production. Logs are invaluable for debugging and investigating specific issues. However, individual logs are only snapshots of application runs in time, and as the project grows and begins to incorporate multiple services, data processing pipelines, and compute resources, the value that can be immediately derived from bare logs diminishes. Logs also tend to be wordy, and the more you log, the harder it is to find the relevant information.

Traditionally time series databases were used to collect system metrics, but they can be equally useful in gathering application specific metrics. Logs can be complemented by metric gathering tools, which collect the data that you care about and expose it in an easy to query and to present manner. In conjunction with intuitive visualization and dashboarding provided by Grafana, InfluxDB can give great insight into inner workings of a system, and bring together all the disparate information into an interface that makes metric data exploration convenient. The two tools can help analyze performance bottlenecks, algorithm deficiencies, and resource constraints."
,Document all the things,09-18-2015,17:00,17:30,PythonAnywhere Room (CC1.3),,"Kristian Glass

Producing good documentation is a bit like flossing.
We all know we should, but somehow we never quite do.

Why do we find it so hard? What can we do about it? Why does it even matter? How can we get better?

Whatever you're doing, whatever your background, these questions matter."
,Python for mobile games on iOS and Android,09-18-2015,17:00,17:30,Osper Room (CC1.4),,"Safe Hammad & Fiona Burrows

Have you ever wanted to write a game in Python but wished you could run it on your phone? At Arctic Shores we're doing just that and even have a couple of games in production on both Apple's AppStore and Google Play.

In this talk we'll guide you through the tools we use to target, build and deploy to iOS and Android, including Kivy, Kivy for iOS and Myrmidon, our open source pure-Python framework for rapid game development. We'll also share with you the choices we've made and some of the pain we've felt getting one codebase to run on multiple platforms.

We'll then roll our sleeves up and demonstrate Myrmidon and its unique way of easily allowing complex object interaction and behaviour. We'll also discuss its modular nature and how that enabled us to deploy native apps to iOS and Android.

Finally we'll discuss our plans for the future of Myrmidon and how you can get involved."
,Resilient data pipelines using Docker-Compose,09-18-2015,17:00,17:30,LaterPay Room (CC2.1),,"Heeren Sharma

I have had experience of developing data piplines in Python based on huge volumes of unstructured events, processing them and storing them in NoSQL solutions like Redis both for fun and profit . Developing and Deploying aggresievely while maintaining the uptime of the system and it's various components was a key metric.
Learning from mistakes and failures, I wish to share my story of how docker made my and can make your life easy and sane.
With advent of docker, bridge between development and deployment has been wonderfully shortened. This talk will be centered around orchestrating different docker containers using docker-compose and how it facilitates the designing of whole system architecture by taking use case of a data pipeline. After giving the first overview of the docker-compose, my experience of developing data pipeline will be shared. 
And in the end, a short live demo (hack session - designing and development) will be presented so as to grasp the concept of realizing this whole approach and take away hopefully to your production systems."
,Python Projects on the Raspberry Pi,09-18-2015,17:30,18:00,PythonAnywhere Room (CC1.3),,"Ben Nuttall

Python is the most popular language in the Raspberry Pi
community. Also with the Raspberry Pi, it's easy to do physical
computing directly from Python code - rather than usual embedded
hardware engineering in C or Assembler.

In this talk I’ll show examples of computing projects that use Python
on the Raspberry Pi and demonstrate the sort of code used in such
projects.

This will be an informative session with learning possibilities to
give those new to Python on the Raspberry Pi a chance to get started.

Ben Nuttall is the Education Developer Advocate at the Raspberry Pi
Foundation in Cambridge, UK."
,Testing and Async - a journey,09-18-2015,17:30,18:00,Osper Room (CC1.4),,"James Broadhead

Testing asynchronous code can require different approaches to writing tests, and learning to write good tests can inform the architecture of your codebase. 
This talk will describe the evolution of testing in the TweetDeck API, a Twisted Python web api, and discuss some approaches to extending test coverage over a large legacy codebase. 
Examples will be in Twisted, but will be intended to be relevant to anyone working with established codebases or working with async in particular."
,Accelerate and scale your tests with nodepool,09-18-2015,17:30,18:00,LaterPay Room (CC2.1),,"Yolanda Robla Mota

I will describe Nodepool, the Openstack Infra tool used to spin up virtual machines for testing,
according to the realtime demand for tests.

I will explain how to setup it, and how to integrate with Gearman and Jenkins, to allow to run
tests on real-time and scaling that automatically.

Link to project source code:
https://github.com/yrobla/nodepool_job_launcher
https://github.com/openstack-infra/nodepool

Additional OpenStack Infra documentation:
http://docs.openstack.org/infra/system-config/nodepool.html"
,Using logical flaws to steal and modify business critical data,09-18-2015,18:00,18:30,PythonAnywhere Room (CC1.3),,"Frans Rosén

Independently of what type of programming language you work with, business flaws that could expose unauthorized data will always be hard to mitigate. Depending on the business, an issue for one company could in fact be a feature for another. Frans Rosén, a notorious white hat hacker, will explain how to find and test for these kind of business critical issues with examples from real life, such as Twitter, Facebook and Yahoo."
,Enabling the Optimisation of Python,09-18-2015,18:00,18:30,Osper Room (CC1.4),,"Stefan Popa

Scripting languages such as PHP or Python have a crucial role in powering most of today’s Web or Cloud-based applications running in Datacenters worldwide. In order to maintain competitive advantage, the performance of Python language must be under constant scrutiny so that the best results are obtained. Enabling open source contributors to focus on the performance status of the contributed code can be achieved by automating some of the repetitive tasks. This presentation proposes a framework which aims to facilitate the monitoring process by automatically measuring the selected relevant benchmarks for the Python code base."
,Trade management in Python - a story of throughput,09-18-2015,18:00,18:30,LaterPay Room (CC2.1),,"Ciprian Miclaus

Python is used more and more in finance and in investment banking nowadays as the language and platform of choice to solve various problems that were previously solved in other languages: Java, C++ or VBA. 

This presentation offers a gentle introduction to the world of trading and investment banking, the kind of problems encountered and solved and how Python fits in the picture. While there are many use cases for using Python in investment banking, this story focuses on the trade management and trade capture use cases.

It decomposes the trade capture scenario and shows how throughput (measured generally in trades/second) can be measured and increased. It then goes to describe a real world custom solution based on multiprocessing in Python.

At the end of the presentation, the participants will hopefully gain an idea of what types of problems developers working for investment banks have to deal with on a day to day basis and how Python is put to good use to solve those problems."
,PyCon UK Diversity Reception,09-18-2015,18:00,19:30,Bistro,,
,Day Ends,09-18-2015,18:30,19:30,PythonAnywhere Room (CC1.3),,
,The Friday Night Charity Social in memory of John Pinner,09-18-2015,19:30,23:59,PythonAnywhere Room (CC1.3),,
,Registration / Breakfast,09-19-2015,08:00,09:00,Cafeteria,,
,Opening Plenary,09-19-2015,09:00,09:15,PythonAnywhere Room (CC1.3),,
,Keynote: Dr Simon Sheridan Landing on a comet: From planning to reality,09-19-2015,09:15,10:00,PythonAnywhere Room (CC1.3),,
,PyKids UK Setup,09-19-2015,09:15,09:30,Bank of America Education Track (Simulation Centre),,
,PyKids UK Opening,09-19-2015,09:30,10:00,Bank of America Education Track (Simulation Centre),,
,JSON and the daughters of Pelias,09-19-2015,10:00,10:30,PythonAnywhere Room (CC1.3),,"Zeth

The JSON Data Interchange Format is Internet Engineering Task Force
(IETF) standard RFC-7159. Since its release, many new draft internet
standards have been published including JSON Schema
(draft-zyp-json-schema-04), JSOND (draft-oskarsson-jsond-00), JSON
Pointer (RFC-6901), JSON-LD (W3C Recommendation), JSON Merge Patch
(RFC-7386), JSON-RPC and JSON Reference
(draft-pbryan-zyp-json-ref-03); while new Python object to JSON
serialisation techniques have been published such as jsonpickle.

In this session we will implement these JSON technologies using Python
and evaluate their individual usefulness but also discuss how these
proposals can and cannot be combined to make JSON powered Python
applications. Finally, we will look at a Python application that I
made using some of these technologies."
,Building SAAs with django and polla,09-19-2015,10:00,10:30,Osper Room (CC1.4),,"Emmanuelle Delescolle

Airavata is a tool to help run multiple websites under Django using the same codebase and the same database.
This talk will demonstrate how to build a SAAS service with those tools.

In the meantime you can already checkout [the project's page](https://bitbucket.org/levit_scs/airavata)."
,Fifty Shades of Disaster - Human Error and Complex Systems,09-19-2015,10:00,13:00,YPlan Room (CC1.8),,"Paul Ross

A four part workshop that discusses the failures that happen when humans interact with complex systems. The talks illustrate what can be learnt from how various industries handle risk management. They are illustrated with analysis of some famous and not so famous accidents from finance, aviation, marine, software, oil and various other industries.

You are not going to live long enough to make all the mistakes yourself so its best to learn from those made by others. After this workshop you will be more resilient to failure!

Part 1: Complexity, coupling and systems failure
  - A gentle introduction to human error and modern accident theory

Part 2: A concise history of civil aviation accidents
  - How air travel became so safe

Part 3: Blame and the fallacy of Root Cause Analysis
  - How not to investigate an accident

Part 4: Heroic recoveries, skill, luck and sheer professionalism
  - The disasters that never happened"
,Open Space for BoFs and discussion,09-19-2015,10:00,10:30,LaterPay Learning Space (Bistro),,
,Forming a PyCon UK research community,09-19-2015,10:00,10:30,The Software Sustainability Institute Room (CC2.1),,"Sarah Mount, University of Wolverhampton

Sarah opens the Science Track by introducing the workshops, talks and
sprint and discusses the formation of a research community."
,Group Activities: Minecraft Code Club Your code in space Internet of Toys,09-19-2015,10:00,11:15,Bank of America Education Track (Simulation Centre),,
,Managing mocks - the how why and when of mocking in Python,09-19-2015,10:30,11:00,PythonAnywhere Room (CC1.3),,"Helen Sherwood-Taylor

Mocking is a valuable technique for writing tests, but is it always a good idea?

I want to give a brief introduction to the how and why of mocking and the scope of its usefulness - I'll look at situations where it is provides the most benefit and the times when it can be taken too far. 

Python is packaged with an excellent mocking module but we'll also look at some other libraries which can help with mocking effectively."
,Template matching - howto,09-19-2015,10:30,11:00,Osper Room (CC1.4),,
,Open Space,09-19-2015,10:30,11:00,LaterPay Learning Space (Bistro),,
,Accelerating Scientific Code with Numba,09-19-2015,10:30,12:30,The Software Sustainability Institute Room (CC2.1),,"Graham Markall

This tutorial will provide an overview of Numba, a just-in-time Python compiler focused on numerical computing. Originally aimed at computations using Numpy arrays, it has been expanded to work with other Python types and can speed up computations that require more than just fast linear algebra operations. Numba targets both CPUs and CUDA GPUs by generating native code using the LLVM compiler infrastructure.

This introduction aims to span the breadth of use cases rather than focusing on a single area in depth. This is in order to enable the selection of appropriate portions of code to use with Numba, and the correct selection of Numba's facilities in each case.

Areas that will be covered include:

* An overview of the type system, with a view to understanding and overcoming typing issues,
* Compilation of Python functions using the @jit decorator,
* Creation of Numpy ufuncs in Python using the @vectorize decorator,
* Understanding the performance of compiled code, and performance optimisation tips,
* Debugging facilities in Numba.

This tutorial is intended for an audience of programmers and data scientists who have an interest in speeding up numerical routines, and people with a general interest in high-performance Python. In order to get started quickly, it is recommended that attendees install the Anaconda Python distribution or Miniconda, as this provides a robust mechanism for installing Numba on Linux, Mac OS X and Windows."
,5 impossible things before breakfast,09-19-2015,11:00,11:30,PythonAnywhere Room (CC1.3),,"Michael Sparks

Sometimes you're asked to deliver something that seems impossible, but
necessary in a given timeframe.  Sometimes it's several seemingly impossible
things.

Developing the prototype for the BBC Micro:bit - a pocket sized, child
programmable computer - was very much like this.  It had 3 months to be
delivered in a form sufficiently robust and usable to be used by children in
schools across the country; to be sufficiently documented to be completely
understood from scratch by others; and to be a sufficiently open and
flexible design to allow any and all parts of the system to change, while
retaining its core principles.

There was about 3 months to develop the entire stack from scratch. This
included a microcontroller based hardware stack, through firmware, a python
to C++ compiler (3-4 weeks), through django website, through to a QT
(PySide) client side application, through to publication of the device as a
network connected and controllable device via REST.  Python was involved in
all layers - including at microcontroller level on a device too small to run
any python interpreter.

The bulk of the development period had just one developer for hardware
and software.  For just 1 month there were 2 extra developers brought on
board, part time to assist.

This talk will be a detailed overview of the various subsystems, and the
strategies taken to deliver a complete, mass produce-able, and sufficiently
scalable product such an aggressive timescale.  The talk title is a nod to
the idea that while each of the various layers is doable alone in 3 months,
doing all the layers simultaneously using one developer is ... challenging.

It should be of interest to those interested in developing hardware and
software products, and especially those developing products that have both a
hardware and software element."
,"Asking About Gender - the Whats, Whys and Hows",09-19-2015,11:00,11:30,Osper Room (CC1.4),,"Claire Gowler

As we move towards more customised experiences for our users, why do we still insist of using the black boxes of male and female when asking users about their gender? And why are we asking for it in the first place?

Between 1 and 5 percent of the UK population identifies as having a non-binary gender or are transgender. This talk aims to help developers ask users about their gender in a useful and sensitive manner; educate on what non-binary means and what other issues non-binary and gender variant users may face when using the web."
,Setup for Poster Session,09-19-2015,11:00,12:00,LaterPay Learning Space (Bistro),,
,Everyone Swap: Minecraft Code Club Your code in space Internet of Toys,09-19-2015,11:15,12:30,Bank of America Education Track (Simulation Centre),,
,Finding more bugs with less work,09-19-2015,11:30,12:00,PythonAnywhere Room (CC1.3),,"David R. MacIver

Mainstream software testing is terrible, because the tools to make it good are missing. [Hypothesis](http://hypothesis.readthedocs.org/en/latest/) is a testing library that aims to fix this.

Where classically unit testing requires you to think of all the edge cases yourself, Hypothesis actively seeks them out for you. Instead of laboriously setting up examples where your code should work, you tell it how your code should always work and it finds the examples that prove you wrong.

This is a talk from the author of Hypothesis on the how, why and where of using it.

This talk presupposes you have at least a little bit of experience with testing in Python, but familiarity with advanced topics is not required."
,"Why I have an unhealthy love of tests, and why you shouldn't be scared about writing them",09-19-2015,11:30,12:00,Osper Room (CC1.4),,"Gemma Hentsch

Tests, I used to hate them, and actually when I start writing tests on a new project I still do.

But, you don't have to be scared about them, and I'd like to cover developing your testing strategy, what to test, what not to test, and how to explain how to convince higher ups that its not just a useful spending of time, its a vital part of your job."
,Lunch Events Spare Slots,09-19-2015,12:00,14:00,PythonAnywhere Room (CC1.3),,
,Recruitment Clinic,09-19-2015,12:00,14:00,Osper Room (CC1.4),,
,Poster Session,09-19-2015,12:00,14:00,LaterPay Learning Space (Bistro),,
,Py4Sci Lunch,09-19-2015,12:30,13:00,The Software Sustainability Institute Room (CC2.1),,
,"PyKids UK Lunch (provided packed lunch including sandwich, fruit and crisps)",09-19-2015,12:30,13:00,Bank of America Education Track (Simulation Centre),,
,Scrapy Workshop Part 1,09-19-2015,13:00,15:00,YPlan Room (CC1.8),,"Juan Riaza

If you want to get data from the web, and there are no APIs available, then you need to use web scraping! Scrapy is the most effective and popular choice for web scraping and is used in many areas such as data science, journalism, business intelligence, web development, etc.

This workshop will provide an overview of Scrapy, starting from the fundamentals and working through each new topic with hands-on examples.

Participants will come away with a good understanding of Scrapy, the principles behind its design, and how to apply the best practices encouraged by Scrapy to any scraping task.

Goals:

- Set up a python environment.
- Learn basic concepts of the Scrapy framework."
,Getting started with testing scientific programs part 1,09-19-2015,13:00,15:00,The Software Sustainability Institute Room (CC2.1),,"Martin Jones

When writing programs for scientific research, we tend to be focussed on getting results, so testing is generally not a priority. Often, this means that our data-processing pipelines end up incorporating programs that don't have test suites. Examples of high-profile retractions due to software errors (e.g. http://www.sciencemag.org/content/314/5807/1856.full) illustrate the dangers of this approach. 

This session will be a gentle introduction to testing, aimed at people writing scientific software who would like to start taking advantage of automated testing. We'll start with Python’s built-in tools and moving on to using the Nose testing framework. We’ll look at the problems that testing can solve, and see some best-practises for writing tests.

####Goals

The goal of this training session is for attendees to come away with (1) an understanding of some basic testing concepts, (2) some hands-on experience of running tests and interpreting the output, and (3) an idea of how to start applying these tools to their own projects.

####Who should attend this session
Attendees should have a basic knowledge of Python and should be familiar with the idea of functions, conditions and exceptions. They should also have the Nose package installed (pip install nose should work in most cases).

####What to do before this session
If you plan to attend this workshop, you can make things run smoothly by making sure that you have the `nose` module installed. Follow [the instructions on the nose website](https://nose.readthedocs.org/en/latest/). You'll also need internet access in order to download the example files, so make sure you can connect to the conference wifi."
,Freestyle code jam,09-19-2015,13:00,15:00,Bank of America Education Track (Simulation Centre),,
,Taming a Legacy Codebase with (Micro)services,09-19-2015,14:00,14:30,PythonAnywhere Room (CC1.3),,"John Chandler

This is a story of killing-off a legacy codebase written in PHP. To the business, it ""just works"" and the customers love it. To the developers, it's an unmaintainable nightmare of bad practice that has resisted every attempt to rewrite from scratch.

From the ashes of those doomed rewrites came a more incremental approach, finding areas in the code that could be extracted into small, composable services.

I'll discuss why microservices are nothing new, how our approach evolved, the challenges of adoption, and the pros and cons of the approach. Although I won't delve too deeply into the technology stack, I'll doff my (metaphorical) hat to Django REST Framework and a few other tools of choice that have made the work possible.

I hope to cut through the microservices hype, and illustrate one way of using them to refactor, and ultimately replace, a legacy monolith."
,Language Composition with RPython,09-19-2015,14:00,14:30,Osper Room (CC1.4),,"Edd Barrett

Language composition allows us to write programs in a mixture of different languages. This sounds ideal since it should allow us to choose the best mix of languages for the task at hand. Due to technical hurdles however, language compositions tend to be little more than simple foreign function interfaces (FFIs).
                                                                                
At King's college London we are trying to build better language compositions. We have devised a new approach which makes it much easier to intermingle programming languages without compromising performance. In this talk I will outline our approach and show what happens when you put Python and PHP in a blender."
,Open Space,09-19-2015,14:00,15:00,LaterPay Learning Space (Bistro),,
